torneo,partidos,puntos_barrera,rating_barrera,rating_gral_barrera,contestados_barrera,expected_rating_barrera,expected_rating_gral_barrera,expected_points_barrera,puntos_chochos,rating_chochos,rating_gral_chochos,contestados_chochos,expected_rating_chochos,expected_rating_gral_chochos,expected_points_chochos,puntos_dani,rating_dani,rating_gral_dani,contestados_dani,expected_rating_dani,expected_rating_gral_dani,expected_points_dani,puntos_velez,rating_velez,rating_gral_velez,contestados_velez,expected_rating_velez,expected_rating_gral_velez,expected_points_velez,rating_grupal_torneo,rating_grupal_gral
AFC Champions League Elite,16,6,0.375,0.495,16,0.375,0.496,6.0,5,0.313,0.495,14,0.357,0.495,5.712,8,0.5,0.497,16,0.5,0.506,8.0,12,0.75,0.426,16,0.75,0.472,12.0,0.484,0.478
Conference,15,9,0.6,0.495,15,0.6,0.496,9.0,8,0.533,0.495,15,0.6,0.495,9.0,11,0.733,0.497,15,0.733,0.506,10.995,6,0.4,0.426,12,0.5,0.472,7.5,0.567,0.478
Libertadores,13,6,0.462,0.495,13,0.462,0.496,6.006,7,0.538,0.495,13,0.462,0.495,6.006,8,0.615,0.497,13,0.615,0.506,7.995,5,0.385,0.426,13,0.385,0.472,5.005,0.5,0.478
OFC WC Qualifiers,11,8,0.727,0.495,11,0.727,0.496,7.997,6,0.545,0.495,10,0.8,0.495,8.8,8,0.727,0.497,11,0.727,0.506,7.997,5,0.455,0.426,10,0.5,0.472,5.5,0.614,0.478
CAN Qualifiers,10,6,0.6,0.495,10,0.6,0.496,6.0,6,0.6,0.495,10,0.6,0.495,6.0,4,0.4,0.497,10,0.4,0.506,4.0,5,0.5,0.426,10,0.5,0.472,5.0,0.525,0.478
Pokal,9,6,0.667,0.495,9,0.667,0.496,6.003,8,0.889,0.495,9,0.667,0.495,6.003,7,0.778,0.497,9,0.778,0.506,7.002,6,0.667,0.426,9,0.667,0.472,6.003,0.75,0.478
EFL Cup,9,6,0.667,0.495,9,0.667,0.496,6.003,6,0.667,0.495,9,0.667,0.495,6.003,5,0.556,0.497,9,0.556,0.506,5.004,4,0.444,0.426,9,0.444,0.472,3.996,0.584,0.478
CONCACAF Nations League,8,5,0.625,0.495,8,0.625,0.496,5.0,6,0.75,0.495,8,0.625,0.495,5.0,6,0.75,0.497,8,0.75,0.506,6.0,6,0.75,0.426,8,0.75,0.472,6.0,0.719,0.478
Categoría Primera A,5,2,0.4,0.495,5,0.4,0.496,2.0,2,0.4,0.495,5,0.4,0.495,2.0,1,0.2,0.497,5,0.2,0.506,1.0,1,0.2,0.426,4,0.25,0.472,1.25,0.3,0.478
Intercontinental,5,3,0.6,0.495,5,0.6,0.496,3.0,4,0.8,0.495,5,0.6,0.495,3.0,2,0.4,0.497,4,0.5,0.506,2.5,2,0.4,0.426,4,0.5,0.472,2.5,0.55,0.478
J League,5,2,0.4,0.495,5,0.4,0.496,2.0,3,0.6,0.495,5,0.4,0.495,2.0,4,0.8,0.497,5,0.8,0.506,4.0,0,0.0,0.426,5,0.0,0.472,0.0,0.45,0.478
Champions Cup,4,1,0.25,0.495,4,0.25,0.496,1.0,1,0.25,0.495,4,0.25,0.495,1.0,1,0.25,0.497,4,0.25,0.506,1.0,1,0.25,0.426,4,0.25,0.472,1.0,0.25,0.478
OFC Nations Cup,4,2,0.5,0.495,4,0.5,0.496,2.0,2,0.5,0.495,4,0.5,0.495,2.0,2,0.5,0.497,4,0.5,0.506,2.0,4,1.0,0.426,4,1.0,0.472,4.0,0.625,0.478
Eredivisie,4,2,0.5,0.495,4,0.5,0.496,2.0,1,0.25,0.495,4,0.5,0.495,2.0,1,0.25,0.497,4,0.25,0.506,1.0,2,0.5,0.426,4,0.5,0.472,2.0,0.375,0.478
Coppa Italia,3,1,0.333,0.495,3,0.333,0.496,0.999,1,0.333,0.495,3,0.333,0.495,0.999,1,0.333,0.497,3,0.333,0.506,0.999,2,0.667,0.426,3,0.667,0.472,2.001,0.417,0.478
Saudi Pro League,3,3,1.0,0.495,3,1.0,0.496,3.0,1,0.333,0.495,3,1.0,0.495,3.0,2,0.667,0.497,3,0.667,0.506,2.001,3,1.0,0.426,3,1.0,0.472,3.0,0.75,0.478
Liga Portugal,3,2,0.667,0.495,3,0.667,0.496,2.001,2,0.667,0.495,3,0.667,0.495,2.001,1,0.333,0.497,3,0.333,0.506,0.999,1,0.333,0.426,2,0.5,0.472,1.5,0.5,0.478
MLS,3,0,0.0,0.495,3,0.0,0.496,0.0,2,0.667,0.495,3,0.0,0.495,0.0,1,0.333,0.497,3,0.333,0.506,0.999,2,0.667,0.426,3,0.667,0.472,2.001,0.417,0.478
RPL,2,1,0.5,0.495,2,0.5,0.496,1.0,1,0.5,0.495,2,0.5,0.495,1.0,1,0.5,0.497,2,0.5,0.506,1.0,0,0.0,0.426,2,0.0,0.472,0.0,0.375,0.478
Liga 1,2,0,0.0,0.495,2,0.0,0.496,0.0,0,0.0,0.495,2,0.0,0.495,0.0,0,0.0,0.497,2,0.0,0.506,0.0,0,0.0,0.426,2,0.0,0.472,0.0,0.0,0.478
SüperLig,2,2,1.0,0.495,2,1.0,0.496,2.0,2,1.0,0.495,2,1.0,0.495,2.0,2,1.0,0.497,2,1.0,0.506,2.0,1,0.5,0.426,2,0.5,0.472,1.0,0.875,0.478
Soúper Ligk Elladas,2,1,0.5,0.495,2,0.5,0.496,1.0,1,0.5,0.495,2,0.5,0.495,1.0,0,0.0,0.497,2,0.0,0.506,0.0,1,0.5,0.426,2,0.5,0.472,1.0,0.375,0.478
Copa Colombia,2,2,1.0,0.495,2,1.0,0.496,2.0,2,1.0,0.495,2,1.0,0.495,2.0,2,1.0,0.497,2,1.0,0.506,2.0,2,1.0,0.426,2,1.0,0.472,2.0,1.0,0.478
Copa Oro Femenil,1,1,1.0,0.495,1,1.0,0.496,1.0,0,0.0,0.495,1,1.0,0.495,1.0,1,1.0,0.497,1,1.0,0.506,1.0,0,0.0,0.426,1,0.0,0.472,0.0,0.5,0.478
Copa del Rey,1,1,1.0,0.495,1,1.0,0.496,1.0,0,0.0,0.495,1,1.0,0.495,1.0,1,1.0,0.497,1,1.0,0.506,1.0,0,0.0,0.426,1,0.0,0.472,0.0,0.5,0.478
FA Cup,1,0,0.0,0.495,1,0.0,0.496,0.0,0,0.0,0.495,1,0.0,0.495,0.0,0,0.0,0.497,1,0.0,0.506,0.0,0,0.0,0.426,1,0.0,0.472,0.0,0.0,0.478
AFC Champions League,1,0,0.0,0.495,1,0.0,0.496,0.0,0,0.0,0.495,1,0.0,0.495,0.0,0,0.0,0.497,1,0.0,0.506,0.0,1,1.0,0.426,1,1.0,0.472,1.0,0.25,0.478
CAF Champions League,1,1,1.0,0.495,1,1.0,0.496,1.0,1,1.0,0.495,1,1.0,0.495,1.0,1,1.0,0.497,1,1.0,0.506,1.0,1,1.0,0.426,1,1.0,0.472,1.0,1.0,0.478
The Custodian of the Two Holy Mosques' Cup,1,1,1.0,0.495,1,1.0,0.496,1.0,0,0.0,0.495,1,1.0,0.495,1.0,1,1.0,0.497,1,1.0,0.506,1.0,0,0.0,0.426,1,0.0,0.472,0.0,0.5,0.478
Supercopa MX,1,1,1.0,0.495,1,1.0,0.496,1.0,0,0.0,0.495,1,1.0,0.495,1.0,1,1.0,0.497,1,1.0,0.506,1.0,0,0.0,0.426,1,0.0,0.472,0.0,0.5,0.478
Nile League,1,1,1.0,0.495,1,1.0,0.496,1.0,0,0.0,0.495,1,1.0,0.495,1.0,1,1.0,0.497,1,1.0,0.506,1.0,1,1.0,0.426,1,1.0,0.472,1.0,0.75,0.478
Primera División de Chile,1,1,1.0,0.495,1,1.0,0.496,1.0,1,1.0,0.495,1,1.0,0.495,1.0,0,0.0,0.497,1,0.0,0.506,0.0,0,0.0,0.426,1,0.0,0.472,0.0,0.5,0.478
K League 1,1,1,1.0,0.495,1,1.0,0.496,1.0,0,0.0,0.495,1,1.0,0.495,1.0,1,1.0,0.497,1,1.0,0.506,1.0,1,1.0,0.426,1,1.0,0.472,1.0,0.75,0.478
Campeonato Uruguayo de Primera División,1,0,0.0,0.495,1,0.0,0.496,0.0,1,1.0,0.495,1,0.0,0.495,0.0,0,0.0,0.497,1,0.0,0.506,0.0,0,0.0,0.426,1,0.0,0.472,0.0,0.25,0.478
Copa do Brasil,1,1,1.0,0.495,1,1.0,0.496,1.0,1,1.0,0.495,1,1.0,0.495,1.0,1,1.0,0.497,1,1.0,0.506,1.0,0,0.0,0.426,1,0.0,0.472,0.0,0.75,0.478
Copa de la Liga Profesional,1,0,0.0,0.495,1,0.0,0.496,0.0,0,0.0,0.495,1,0.0,0.495,0.0,0,0.0,0.497,1,0.0,0.506,0.0,0,0.0,0.426,1,0.0,0.472,0.0,0.0,0.478
Scottish Cup,1,1,1.0,0.495,1,1.0,0.496,1.0,0,0.0,0.495,1,1.0,0.495,1.0,0,0.0,0.497,1,0.0,0.506,0.0,1,1.0,0.426,1,1.0,0.472,1.0,0.5,0.478
Trofeo de Campeones,1,0,0.0,0.495,1,0.0,0.496,0.0,0,0.0,0.495,1,0.0,0.495,0.0,0,0.0,0.497,1,0.0,0.506,0.0,0,0.0,0.426,1,0.0,0.472,0.0,0.0,0.478
Coupe de France,1,1,1.0,0.495,1,1.0,0.496,1.0,1,1.0,0.495,1,1.0,0.495,1.0,1,1.0,0.497,1,1.0,0.506,1.0,0,0.0,0.426,1,0.0,0.472,0.0,0.75,0.478
