fecha,puntos_barrera,puntos_chochos,puntos_dani,puntos_velez,puntos_disputados,cociente_barrera,cociente_chochos,cociente_dani,cociente_velez
8/9/2024,0,1,1,0,1,0.00,1.00,1.00,0.00
9/9/2024,1,1,1,1,1,1.00,1.00,1.00,1.00
10/9/2024,2,2,2,2,5,0.40,0.40,0.40,0.40
11/9/2024,1,1,0,0,1,1.00,1.00,0.00,0.00
13/9/2024,2,2,2,1,5,0.40,0.40,0.40,0.20
14/9/2024,5,5,4,6,6,0.83,0.83,0.67,1.00
17/9/2024,6,6,6,5,12,0.50,0.50,0.50,0.42
18/9/2024,5,6,3,3,10,0.50,0.60,0.30,0.30
19/9/2024,1,2,3,3,7,0.14,0.29,0.43,0.43
20/9/2024,1,1,2,1,2,0.50,0.50,1.00,0.50
21/9/2024,8,6,5,5,11,0.73,0.55,0.45,0.45
22/9/2024,5,5,5,6,16,0.31,0.31,0.31,0.38
23/9/2024,1,1,1,1,1,1.00,1.00,1.00,1.00
24/9/2024,2,2,2,2,2,1.00,1.00,1.00,1.00
25/9/2024,2,0,0,0,3,0.67,0.00,0.00,0.00
26/9/2024,1,3,3,4,6,0.17,0.50,0.50,0.67
27/9/2024,0,1,2,1,4,0.00,0.25,0.50,0.25
28/9/2024,5,4,6,5,12,0.42,0.33,0.50,0.42
29/9/2024,2,5,5,5,10,0.20,0.50,0.50,0.50
1/10/2024,5,5,5,5,7,0.71,0.71,0.71,0.71
2/10/2024,3,4,3,5,9,0.33,0.44,0.33,0.56
3/10/2024,9,8,7,6,11,0.82,0.73,0.64,0.55
4/10/2024,0,1,0,1,3,0.00,0.33,0.00,0.33
5/10/2024,7,8,11,9,16,0.44,0.50,0.69,0.56
6/10/2024,2,3,1,3,11,0.18,0.27,0.09,0.27
7/10/2024,0,0,0,1,1,0.00,0.00,0.00,1.00
9/10/2024,0,0,0,0,1,0.00,0.00,0.00,0.00
10/10/2024,8,7,6,7,15,0.53,0.47,0.40,0.47
11/10/2024,6,6,6,5,11,0.55,0.55,0.55,0.45
12/10/2024,4,3,2,4,5,0.80,0.60,0.40,0.80
13/10/2024,2,2,2,2,3,0.67,0.67,0.67,0.67
14/10/2024,7,8,7,6,10,0.70,0.80,0.70,0.60
15/10/2024,11,8,11,8,20,0.55,0.40,0.55,0.40
16/10/2024,0,1,1,1,2,0.00,0.50,0.50,0.50
17/10/2024,1,1,0,1,2,0.50,0.50,0.00,0.50
18/10/2024,3,5,3,5,9,0.33,0.56,0.33,0.56
19/10/2024,7,11,7,5,14,0.50,0.79,0.50,0.36
20/10/2024,4,4,4,3,4,1.00,1.00,1.00,0.75
21/10/2024,1,1,1,2,2,0.50,0.50,0.50,1.00
22/10/2024,6,7,6,7,11,0.55,0.64,0.55,0.64
23/10/2024,6,5,6,4,13,0.46,0.38,0.46,0.31
24/10/2024,7,6,7,5,10,0.70,0.60,0.70,0.50
25/10/2024,1,0,0,0,3,0.33,0.00,0.00,0.00
26/10/2024,5,5,8,4,15,0.33,0.33,0.53,0.27
27/10/2024,5,3,6,2,13,0.38,0.23,0.46,0.15
28/10/2024,2,1,1,1,3,0.67,0.33,0.33,0.33
29/10/2024,4,5,3,3,5,0.80,1.00,0.60,0.60
30/10/2024,7,7,7,4,11,0.64,0.64,0.64,0.36
31/10/2024,2,2,2,2,3,0.67,0.67,0.67,0.67
1/11/2024,1,2,3,1,8,0.13,0.25,0.38,0.13
2/11/2024,9,8,6,10,16,0.56,0.50,0.38,0.63
3/11/2024,4,4,4,3,8,0.50,0.50,0.50,0.38
5/11/2024,9,7,7,6,12,0.75,0.58,0.58,0.50
6/11/2024,7,6,5,6,16,0.44,0.38,0.31,0.38
7/11/2024,5,7,5,4,14,0.36,0.50,0.36,0.29
8/11/2024,3,2,3,3,4,0.75,0.50,0.75,0.75
9/11/2024,3,6,6,3,11,0.27,0.55,0.55,0.27
10/11/2024,4,5,5,3,9,0.44,0.56,0.56,0.33
13/11/2024,1,1,1,1,2,0.50,0.50,0.50,0.50
14/11/2024,8,8,7,6,15,0.53,0.53,0.47,0.40
15/11/2024,7,7,6,6,12,0.58,0.58,0.50,0.50
16/11/2024,5,5,5,4,10,0.50,0.50,0.50,0.40
17/11/2024,4,3,4,4,8,0.50,0.38,0.50,0.50
18/11/2024,4,4,6,3,8,0.50,0.50,0.75,0.38
19/11/2024,6,10,8,10,21,0.29,0.48,0.38,0.48
20/11/2024,3,2,2,3,5,0.60,0.40,0.40,0.60
21/11/2024,0,0,1,2,2,0.00,0.00,0.50,1.00
22/11/2024,1,0,0,0,1,1.00,0.00,0.00,0.00
23/11/2024,5,5,5,5,11,0.45,0.45,0.45,0.45
24/11/2024,4,2,2,2,4,1.00,0.50,0.50,0.50
25/11/2024,1,1,2,2,2,0.50,0.50,1.00,1.00
26/11/2024,8,8,9,10,13,0.62,0.62,0.69,0.77
27/11/2024,4,5,4,8,14,0.29,0.36,0.29,0.57
28/11/2024,5,6,4,5,14,0.36,0.43,0.29,0.36
29/11/2024,0,1,0,1,2,0.00,0.50,0.00,0.50
30/11/2024,7,5,6,7,12,0.58,0.42,0.50,0.58
1/12/2024,7,8,8,6,12,0.58,0.67,0.67,0.50
2/12/2024,1,2,2,1,3,0.33,0.67,0.67,0.33
3/12/2024,1,1,2,1,5,0.20,0.20,0.40,0.20
4/12/2024,7,8,11,9,14,0.50,0.57,0.79,0.64
5/12/2024,0,0,1,0,3,0.00,0.00,0.33,0.00
6/12/2024,1,3,3,0,3,0.33,1.00,1.00,0.00
7/12/2024,5,4,4,4,15,0.33,0.27,0.27,0.27
8/12/2024,4,7,5,7,13,0.31,0.54,0.38,0.54
9/12/2024,1,2,1,1,2,0.50,1.00,0.50,0.50
10/12/2024,5,4,5,1,9,0.56,0.44,0.56,0.11
11/12/2024,7,5,0,0,12,0.58,0.42,0.00,0.00
12/12/2024,8,11,8,3,18,0.44,0.61,0.44,0.17
13/12/2024,0,1,0,0,1,0.00,1.00,0.00,0.00
14/12/2024,3,8,6,6,17,0.18,0.47,0.35,0.35
15/12/2024,9,7,7,8,14,0.64,0.50,0.50,0.57
16/12/2024,0,1,0,1,1,0.00,1.00,0.00,1.00
18/12/2024,5,5,4,4,6,0.83,0.83,0.67,0.67
19/12/2024,2,2,1,1,2,1.00,1.00,0.50,0.50
20/12/2024,1,1,1,1,1,1.00,1.00,1.00,1.00
21/12/2024,3,2,3,2,9,0.33,0.22,0.33,0.22
22/12/2024,5,4,5,3,8,0.63,0.50,0.63,0.38
23/12/2024,0,0,0,0,1,0.00,0.00,0.00,0.00
26/12/2024,3,4,3,2,9,0.33,0.44,0.33,0.22
27/12/2024,1,1,2,1,2,0.50,0.50,1.00,0.50
28/12/2024,0,0,0,0,1,0.00,0.00,0.00,0.00
29/12/2024,6,3,4,0,9,0.67,0.33,0.44,0.00
30/12/2024,0,0,2,0,3,0.00,0.00,0.67,0.00
