fecha,puntos_barrera,puntos_chochos,puntos_dani,puntos_velez
21/6/2024,111,104,116,88
22/6/2024,112,106,119,90
23/6/2024,114,109,122,92
24/6/2024,117,111,124,94
25/6/2024,119,113,126,96
26/6/2024,122,115,129,99
27/6/2024,123,116,130,100
28/6/2024,125,118,130,102
29/6/2024,129,121,133,106
30/6/2024,132,123,137,109
1/7/2024,135,127,140,110
2/7/2024,137,130,143,112
4/7/2024,138,131,144,113
5/7/2024,141,133,148,115
6/7/2024,144,137,155,119
7/7/2024,145,138,156,120
9/7/2024,147,140,158,122
10/7/2024,148,141,159,123
12/7/2024,149,142,160,124
13/7/2024,151,145,163,127
14/7/2024,151,146,165,128
16/7/2024,156,147,167,130
17/7/2024,162,151,172,135
18/7/2024,164,153,173,136
19/7/2024,166,153,173,136
20/7/2024,172,156,177,139
21/7/2024,173,159,179,141
23/7/2024,174,159,179,142
24/7/2024,177,161,181,143
25/7/2024,181,163,182,145
26/7/2024,185,165,185,148
27/7/2024,191,172,193,151
28/7/2024,195,175,195,153
30/7/2024,198,178,197,153
31/7/2024,202,183,202,157
1/8/2024,206,187,204,160
3/8/2024,208,189,207,160
7/8/2024,209,190,209,161
5/9/2024,211,192,211,163
6/9/2024,211,193,211,164
8/9/2024,211,194,212,164
9/9/2024,212,195,213,165
10/9/2024,214,197,215,167
11/9/2024,215,198,215,167
13/9/2024,217,200,217,168
14/9/2024,222,205,221,174
17/9/2024,228,211,227,179
18/9/2024,233,217,230,182
19/9/2024,234,219,233,185
20/9/2024,235,220,235,186
21/9/2024,243,226,240,191
22/9/2024,248,231,245,197
23/9/2024,249,232,246,198
24/9/2024,251,234,248,200
25/9/2024,253,234,248,200
26/9/2024,254,237,251,204
27/9/2024,254,238,253,205
28/9/2024,259,242,259,210
29/9/2024,261,247,264,215
1/10/2024,266,252,269,220
2/10/2024,269,256,272,225
3/10/2024,278,264,279,231
4/10/2024,278,265,279,232
5/10/2024,285,273,290,241
6/10/2024,287,276,291,244
7/10/2024,287,276,291,245
9/10/2024,287,276,291,245
10/10/2024,295,283,297,252
11/10/2024,301,289,303,257
12/10/2024,305,292,305,261
13/10/2024,307,294,307,263
14/10/2024,314,302,314,269
15/10/2024,325,310,325,277
16/10/2024,325,311,326,278
17/10/2024,326,312,326,279
18/10/2024,329,317,329,284
19/10/2024,336,328,336,289
20/10/2024,340,332,340,292
21/10/2024,341,333,341,294
22/10/2024,347,340,347,301
23/10/2024,353,345,353,305
24/10/2024,360,351,360,310
25/10/2024,361,351,360,310
26/10/2024,366,356,368,314
27/10/2024,371,359,374,316
28/10/2024,373,360,375,317
29/10/2024,377,365,378,320
30/10/2024,384,372,385,324
31/10/2024,386,374,387,326
1/11/2024,387,376,390,327
2/11/2024,396,384,396,337
3/11/2024,400,388,400,340
5/11/2024,409,395,407,346
6/11/2024,416,401,412,352
7/11/2024,421,408,417,356
8/11/2024,424,410,420,359
9/11/2024,427,416,426,362
10/11/2024,431,421,431,365
13/11/2024,432,422,432,366
14/11/2024,440,430,439,372
15/11/2024,447,437,445,378
16/11/2024,452,442,450,382
17/11/2024,456,445,454,386
18/11/2024,460,449,460,389
19/11/2024,466,459,468,399
20/11/2024,469,461,470,402
21/11/2024,469,461,471,404
22/11/2024,470,461,471,404
23/11/2024,475,466,476,409
24/11/2024,479,468,478,411
25/11/2024,480,469,480,413
26/11/2024,488,477,489,423
27/11/2024,492,482,493,431
28/11/2024,497,488,497,436
29/11/2024,497,489,497,437
30/11/2024,504,494,503,444
1/12/2024,511,502,511,450
2/12/2024,512,504,513,451
3/12/2024,513,505,515,452
4/12/2024,520,513,526,461
5/12/2024,520,513,527,461
6/12/2024,521,516,530,461
7/12/2024,526,520,534,465
8/12/2024,530,527,539,472
9/12/2024,531,529,540,473
10/12/2024,536,533,545,474
11/12/2024,543,538,545,474
12/12/2024,551,549,553,477
13/12/2024,551,550,553,477
14/12/2024,554,558,559,483
15/12/2024,563,565,566,491
16/12/2024,563,566,566,492
18/12/2024,568,571,570,496
19/12/2024,570,573,571,497
20/12/2024,571,574,572,498
21/12/2024,574,576,575,500
22/12/2024,579,580,580,503
23/12/2024,579,580,580,503
26/12/2024,582,584,583,505
27/12/2024,583,585,585,506
28/12/2024,583,585,585,506
29/12/2024,589,588,589,506
30/12/2024,589,588,591,506
